longer_name	name	country_code	country_name	lat	lng
KS Cracovia			United States Minor Outlying Islands	50.0284188	19.9726595
FC Dnipro Dnipropetrovsk	Dnipro	UKR	Ukraine	48.464717	35.13318629400044
Fenerbahçe SK	Fenerbahçe	TUR	Turkey	40.97428620000001	29.0430833
Sheffield Wednesday FC	Sheff. Wednesday	ENG	United Kingdom	53.4158749	-1.5077223
Al-Ittihad Club	Al-Ittihad	KSA	Saudi Arabia	21.542568660000427	39.2139977
FC Dinamo Bucureşti	Dinamo Bucureşti	ROU	Romania	44.45301913500049	26.1037697
Queens Park Rangers FC	QPR	ENG	United Kingdom	51.51074999999999	-0.230056
1. FC Köln	Köln	GER	Germany	50.93332608700047	6.876264700000001
Grasshopper Club Zürich	Grasshoppers	SUI	Switzerland	47.3768866	8.541694
FC Dynamo Kyiv	Dynamo Kyiv	UKR	Ukraine	50.32	30.564428
FC Barcelona	Barcelona	ESP	Spain	41.3813544	2.1203177860004416
AC Sparta Praha	Sparta Praha	CZE	Czech Republic	50.09863665500046	14.413708396000459
FC Shakhtar Donetsk	Shakhtar Donetsk	UKR	Ukraine	47.971263	37.80285
HNK Rijeka	Rijeka	CRO	Croatia	45.3270631	14.447160033000443
SSC Napoli	Napoli	ITA	Italy	40.85405189999999	14.2681244
Cardiff City FC	Cardiff	WAL	Wales	51.479996076000475	-3.17909
Ruch Chorzów	Ruch	POL	Poland	50.29403631600047	18.948666974000446
AC Cesena	Cesena	ITA	Italy	44.1396438	12.238820145000432
Stoke City FC	Stoke	ENG	United Kingdom	53.004145827000514	-2.179404
Eintracht Frankfurt	Frankfurt	GER	Germany	50.115519157000506	8.684168824000437
Wolverhampton Wanderers FC	Wolves	ENG	United Kingdom	53.395867566000504	-2.130059044999598
FC Ingolstadt 04	Ingolstadt	GER	Germany	48.76507649300049	11.4257541
Doncaster Rovers FC	Doncaster	ENG	United Kingdom	53.52326926100051	-1.128462
FK Partizani Tirana	Partizani	ALB	Albania	40.7279595	19.93332809700047
Liverpool FC	Liverpool	ENG	United Kingdom	53.41057676100047	-2.9779368059995477
Birmingham City FC	Birmingham	ENG	United Kingdom	52.48624299999999	-1.890401
Norwich City FC	Norwich	ENG	United Kingdom	52.62272549999999	1.2983397260004494
Olympique Lyonnais	Lyon	FRA	France	45.76961580300048	4.9767765
FC Spartak Moskva	Spartak Moskva	RUS	Russian Federation	55.7310552	37.5649667
Inverness Caledonian Thistle FC	Inverness	SCO	Scotland	57.48100556000048	-4.224721
Burnley FC	Burnley	ENG	United Kingdom	53.78874339999999	-2.2328754
Chelsea FC	Chelsea	ENG	United Kingdom	51.480877998000494	-0.18943975099955424
Udinese Calcio	Udinese	ITA	Italy	46.08149662800048	13.201389975000438
West Ham United FC	West Ham	ENG	United Kingdom	51.57045970000001	0.14751
RB Leipzig	Leipzig	GER	Germany	51.3396955	12.3730747
Frosinone Calcio	Frosinone	ITA	Italy	41.64001725500049	13.34009916600047
FC Krasnodar	Krasnodar	RUS	Russian Federation	45.03926740000001	38.97485574200044
US Sassuolo Calcio	Sassuolo	ITA	Italy	44.54433	10.7847741
FC Zorya Luhansk	Zorya	UKR	Ukraine	50.93433849700051	26.0266362
Bursaspor	Bursaspor	TUR	Turkey	40.21297788800047	29.157478066000465
AFC Bournemouth	Bournemouth	ENG	United Kingdom	50.72047697400046	-1.8794987789995616
Linfield FC	Linfield	NIR	North Ireland	52.57687259999999	-8.3642439
Aberdeen FC	Aberdeen	SCO	Scotland	57.159806062000484	-2.094278
Lechia Gdańsk	Lechia	POL	Poland	54.3904704	18.6371333
Swansea City AFC	Swansea	ENG	United Kingdom	51.62144	-3.9432271479995507
Borussia Dortmund	Dortmund	GER	Germany	51.51493997500046	7.465996422000444
Hertha BSC	Hertha	GER	Germany	52.5383229	13.3960555
Newcastle United FC	Newcastle	ENG	United Kingdom	54.9753395	-1.6187730739995914
Club Brugge KV	Club Brugge	BEL	Belgium	51.19510529999999	3.1792763160004256
Malmö FF	Malmö	SWE	Sweden	55.60586895500052	13.003822
FK Bodø/Glimt	Bodø/Glimt	NOR	Norway	67.2803556	14.404916
Kilmarnock FC	Kilmarnock	SCO	Scotland	55.6089042	-4.49863986199955
Trabzonspor AŞ	Trabzonspor	TUR	Turkey	40.90798119999999	39.8281768
Charlton Athletic FC	Charlton	ENG	United Kingdom	51.48729900000001	0.0348582
GNK Dinamo Zagreb	Dinamo Zagreb	CRO	Croatia	45.82139720800046	16.047697900000458
Debreceni VSC	Debrecen	HUN	Hungary	47.5333287950005	21.633326743000453
FC Vaduz	Vaduz	LIE	Liechtenstein	47.141508065000494	9.521640000000446
Málaga CF	Málaga	ESP	Spain	36.721261	-4.42033780999958
Fulham FC	Fulham	ENG	United Kingdom	51.4754674670005	-0.2209317
FC Dinamo Moskva	Dinamo Moskva	RUS	Russian Federation	55.7902895900005	37.558184
Bologna FC 1909	Bologna	ITA	Italy	44.4946457	11.3144803
Hamburger SV	Hamburg	GER	Germany	53.5884432	9.9044926
Leicester City FC	Leicester	ENG	United Kingdom	52.63859826400051	-1.131687637999562
VfL Borussia Mönchengladbach	Mönchengladbach	GER	Germany	51.185389219000456	6.4428041
Melbourne City FC	Melbourne City	AUS	Australia	-37.813999663999596	144.9642459
CS Pandurii Târgu Jiu	Pandurii	ROU	Romania	44.6698463	24.844529
Beijing Guoan FC	Beijing Guoan	CHN	China	39.9815606	116.407395
Tigres UANL	Tigres	MEX	Mexico	25.779912	-100.2818836
SV Werder Bremen	Bremen	GER	Germany	53.07929619999999	8.807768356000452
KSC Lokeren OV	Lokeren	BEL	Belgium	51.1036359740005	3.9940663
