Fulham	Fulham FC
Steaua	FC Steaua Bucureşti
Zorya	FC Zorya Luhansk
Toulouse	Toulouse FC
Hamburg	Hamburger SV
København	FC København
Köln	1. FC Köln
Monaco	AS Monaco FC
Spartak Moskva	FC Spartak Moskva
Olympiacos	Olympiacos FC
Trabzonspor	Trabzonspor AŞ
Linfield	Linfield FC
Lugano	FC Lugano
Schalke	FC Schalke 04
Dnipro	FC Dnipro Dnipropetrovsk
Lazio	SS Lazio
Bremen	SV Werder Bremen
İstanbul Başakşehir	İstanbul Başakşehir
Blackburn	Blackburn Rovers FC
Ferencváros	Ferencvárosi TC
Barcelona	FC Barcelona
Athletic	Athletic Club;Athletic Bilbao
Ludogorets	PFC Ludogorets Razgrad
Al-Gharafa	Al-Gharafa Sports Club
Giannina	PAS Giannina FC
Beşiktaş	Beşiktaş JK
Marseille	Olympique de Marseille
Panathinaikos	Panathinaikos FC
Videoton	Videoton FC
Lechia	Lechia Gdańsk
Hannover	Hannover 96
Cagliari	Cagliari Calcio
Birmingham	Birmingham City FC
Amkar	FC Amkar Perm
Hammarby	Hammarby IF
Shakhtar Donetsk	FC Shakhtar Donetsk
Astra	FC Astra Giurgiu
Frankfurt	Eintracht Frankfurt
Cesena	AC Cesena
Hamilton	Hamilton Academical FC
MK Dons	Milton Keynes Dons FC
Tigres	Tigres UANL
Liberec	FC Slovan Liberec
Liverpool	Liverpool FC
Beijing Guoan	Beijing Guoan FC
AIK	AIK Solna
Kaiserslautern	1. FC Kaiserslautern
St Johnstone	St Johnstone FC
Ufa	FC Ufa
Hull	Hull City AFC
Atlético	Club Atlético de Madrid
AGF	AGF Aarhus
Grasshoppers	Grasshopper Club Zürich
Zürich	FC Zürich
Reading	Reading FC
Everton	Everton FC
Genoa	Genoa CFC
Palermo	US Città di Palermo
Austria Wien	FK Austria Wien
Young Boys	BSC Young Boys
Willem II	Willem II Tilburg
Nürnberg	1. FC Nürnberg
Bordeaux	FC Girondins de Bordeaux
Legia	Legia Warszawa
West Ham	West Ham United FC
Haladás	Szombathelyi Haladás
Sparta Praha	AC Sparta Praha
Hoffenheim	TSG 1899 Hoffenheim
Bayern	FC Bayern München
Bodø/Glimt	FK Bodø/Glimt
H. Beer-Sheva	Hapoel Be'er Sheva FC
Zagłębie	KGHM Zagłębie Lubin
Hajduk Split	HNK Hajduk Split
Gençlerbirliği	Gençlerbirliği SK
Kairat	FC Kairat Almaty
Paris	Paris Saint-Germain
Man. City	Manchester City FC
QPR	Queens Park Rangers FC
Aberdeen	Aberdeen FC
Jablonec	FK Jablonec
Torino	Torino FC
Brighton	Brighton & Hove Albion FC
Dinamo Zagreb	GNK Dinamo Zagreb
Sandefjord	Sandefjord Fotball
Diósgyőr	Diósgyőri VTK
Internazionale	FC Internazionale Milano
Villarreal	Villarreal CF
Aston Villa	Aston Villa FC
Dinamo Moskva	FC Dinamo Moskva
Lech	KKS Lech Poznań
Leipzig	RB Leipzig
Lorient	FC Lorient
PAOK	PAOK FC;PAOK Thessaloniki
Partizani	FK Partizani;FK Partizani Tirana
Fiorentina	ACF Fiorentina
Leverkusen	Bayer 04 Leverkusen
Leicester	Leicester City FC
Rayo Vallecano	Rayo Vallecano de Madrid
Cardiff	Cardiff City FC
Molde	Molde FK
Bournemouth	AFC Bournemouth
Darmstadt	SV Darmstadt 98
Basel	FC Basel 1893
Milan	AC Milan
Ingolstadt	FC Ingolstadt 04
Zenit	FC Zenit
Bologna	Bologna FC 1909
Pandurii	CS Pandurii Târgu Jiu
MTK	MTK Budapest
Rapid Wien	SK Rapid Wien
Luzern	FC Luzern
1860 München	TSV 1860 Munich
Como	Calcio Como
Ipswich	Ipswich Town FC
Slavia Praha	SK Slavia Praha
Ajax	AFC Ajax;Amsterdamsche Football Club Ajax
Mechelen	KV Mechelen
Kilmarnock	Kilmarnock FC
Debrecen	Debreceni VSC
Žilina	MŠK Žilina
Al-Sailiya	Al-Sailiya SC
Watford	Watford FC
Sassuolo	US Sassuolo Calcio
Skënderbeu	KF Skënderbeu
Terek	FC Terek Grozny
Wigan	Wigan Athletic FC
Lyon	Olympique Lyonnais
Sampdoria	UC Sampdoria
Club Brugge	Club Brugge KV
Millwall	Millwall FC
Wolfsburg	VfL Wolfsburg
Puskás Akadémia	Puskás Akadémia FC
Norrköping	IFK Norrköping
Stoke	Stoke City FC
LA Galaxy	LA Galaxy
Charlton	Charlton Athletic FC
West Brom	West Bromwich Albion FC
Osmanlıspor	Osmanlıspor
Qarabağ	Qarabağ FK
Benfica	SL Benfica
Fleetwood	Fleetwood Town FC
Dinamo Bucureşti	FC Dinamo Bucureşti
Göteborg	IFK Göteborg
CSKA Moskva	PFC CSKA Moskva
Lokeren	KSC Lokeren OV
Swansea	Swansea City AFC
Fenerbahçe	Fenerbahçe SK
Colorado	Colorado Rapids
Stuttgart	VfB Stuttgart
Ruch	Ruch Chorzów
Nordsjælland	FC Nordsjælland
Oostende	KV Oostende
Málaga	Málaga CF
Tottenham	Tottenham Hotspur FC
Lokomotiv Moskva	FC Lokomotiv Moskva
Frosinone	Frosinone Calcio
Wisła	Wisła Kraków
Dortmund	Borussia Dortmund
Dynamo Kyiv	FC Dynamo Kyiv
Montreal	Montreal Impact
Norwich	Norwich City FC
Porto	FC Porto
Chelsea	Chelsea FC
Real Madrid	Real Madrid CF
Nottm Forest	Nottingham Forest FC
Valencia	Valencia CF
Pescara	Delfino Pescara 1936
LOSC	LOSC Lille
Al-Ittihad	Al-Ittihad Club
Mainz	1. FSV Mainz 05
Derby	Derby County FC
Crystal Palace	Crystal Palace FC
Plzeň	FC Viktoria Plzeň
Celtic	Celtic FC
Juventus	Juventus;Torino Juventus
Southampton	Southampton FC
Wolves	Wolverhampton Wanderers FC
Nantes	FC Nantes
Augsburg	FC Augsburg
Malmö	Malmö FF
Celta	Celta de Vigo
Newcastle	Newcastle United FC
Bursaspor	Bursaspor
Empoli	Empoli FC
Sevilla	Sevilla FC
Genk	KRC Genk
Braga	SC Braga
Sheff. Wednesday	Sheffield Wednesday FC
Burnley	Burnley FC
Napoli	SSC Napoli
Udinese	Udinese Calcio
Doncaster	Doncaster Rovers FC
Galatasaray	Galatasaray AŞ
Kasımpaşa	Kasımpaşa SK
Hertha	Hertha BSC
Krasnodar	FC Krasnodar
Slovan Bratislava	ŠK Slovan Bratislava
Sundsvall	GIF Sundsvall
Roma	AS Roma
Man. United	Manchester United FC
Melbourne City	Melbourne City FC
Vaduz	FC Vaduz
Rennes	Stade Rennais FC
Sunderland	Sunderland AFC
Inverness	Inverness Caledonian Thistle FC
Arsenal	Arsenal FC
Freiburg	SC Freiburg
Leeds	Leeds United FC
Sporting CP	Sporting Clube de Portugal
Mönchengladbach	VfL Borussia Mönchengladbach
Rijeka	HNK Rijeka
Córdoba	Córdoba CF
OB	Odense Boldklub
	KS Cracovia
