longer_name	name	country_code	country_name	ac_query_name	city	country	lat	lng
SS Lazio	Lazio	ITA	Italy	S.S. Lazio Baseball, Via della Villa di Lucina, Rome, Metropolitan City of Rome, Italy	Roma;Lu Bagnu	IT	40.9011324;41.8577144;42.45368905200047;41.6552418;41.92843716100049;DIFF	8.6881864;12.989615;12.408546830000432;12.4851941;12.47674727800046;DIFF
KF Skënderbeu	Skënderbeu	ALB	Albania	FAILED	Gjakovë		41.30971956500048;42.3764079;DIFF;None	DIFF;19.44549938600045;20.4385842;None
FK Partizani Tirana	Partizani	ALB	Albania	FAILED	Fier;Tirana	AL	40.7279595;41.3275459;40.69999667100046;DIFF	19.5601487;19.93332809700047;19.8186982
PAS Giannina FC	Giannina	GRE	Greece	FAILED		GR	39.667495793000455;None;39.7706318	20.850828180000462;20.8076084;None
SSC Napoli	Napoli	ITA	Italy	Kappa Store Ssc Napoli, Corso Giuseppe Garibaldi, Naples, Metropolitan City of Naples, Italy	Naples;Napoli	IT	40.85405189999999;40.8517746;40.90142579600047;40.8333288390005	14.249999424000464;14.410558676000448;14.2678049;14.2681244
FC Lugano	Lugano	SUI	Switzerland	F.C. Lugano S.A., Lugano, Switzerland	Lugano	CH	46.003000053000505;46.0100789650005;46.0036778	8.951051999999999;8.951269992000448;8.96003934300046
Qarabağ FK	Qarabağ	AZE	Azerbaijan	Qarabağ FK, Tahir Baghirov Street, Surakhani, Azerbaijan	Masallı	AZ	39.69999640800046	48.67284
1. FC Köln	Köln	GER	Germany	1.FC Köln, Junkersdorfer Straße, Cologne, Germany	Hürth;Cologne;Köln	DE	50.9319856;50.94167009300048;50.88566489999999;50.93332608700047;50.937531	6.949995710000451;6.8741843;6.9602786;6.876264700000001;6.955160071000421
FC Basel 1893	Basel	SUI	Switzerland	FC Basel 1893, Birsstrasse, Basel, Switzerland	Basel;Möhlin	CH	46.29876251900049;47.55839607100046;47.5595986;47.5701625;47.5472546;DIFF	6.931979171000421;7.5885761;7.844967;7.5732669030004445;7.622308299999999;DIFF
Frosinone Calcio	Frosinone	ITA	Italy	Frosinone Calcio Srl, Via Marittima, Frosinone, Province of Frosinone, Italy	Alatri;Frosinone	IT	41.6396009;41.6337522;41.64001725500049;41.7378717;45.50669991400048;41.619981321000466;DIFF	9.846540070000458;13.312843712000415;13.3390561;13.34009916600047;13.3372118;13.3426341;DIFF
FC Nantes	Nantes	FRA	France	FC Nantes, Route de la Jonelière, La Chapelle-sur-Erdre, France	La Chapelle-sur-Erdre;Nantes	FR	47.2172498430005;47.218371;47.21810990300048;47.29947986900049;47.2794482	-1.5533587199995509;-1.5500899309995475;-1.5530599909996;-1.553621;-1.5401117
Calcio Como	Como	ITA	Italy	Calcio Como Srl, Viale Giuseppe Sinigaglia, Como, Province of Como, Italy	Veduggio Con Colzano;Como	IT	45.73841059999999;45.81300995300046;45.79514798600047;45.8080597;45.8131012;45.8099772220005	9.0721636;9.2731643;9.0851765;9.087436539000464;9.104408497000463;9.071818424000412
Delfino Pescara 1936	Pescara	ITA	Italy	Comune Di Pescara, Via Filippo Tiberio, Chieti, Province of Chieti, Italy	Pescara;Chieti	IT	42.3755114;42.4617902;42.3645442560005;42.4735599;42.460235971000486	14.2011655;14.2160898;14.210209455000438;14.1435193;14.143049325000447
FC Zürich	Zürich	SUI	Switzerland	FC Zürich Platz, Zürich, Switzerland	Zürich	CH	47.3768866;47.36666808400048;47.37706998200048;47.3813649	8.5039263;8.539559990000441;8.541694;8.549999730000422
PAOK Thessaloniki	PAOK	GRE	Greece	FAILED	Thessaloniki	GR	40.6400629;40.61410829200048;40.565769082000486;None	22.98016972700043;None;22.9444191;22.971368508000467
HNK Rijeka	Rijeka	CRO	Croatia	FAILED	Rijeka	HR	45.3270631;45.326709930000504;45.3479003;45.343058155000506	14.409168299000441;14.442176;14.4019282;14.447160033000443
SC Freiburg	Freiburg	GER	Germany	SC Freiburg, Schwarzwaldstraße, Freiburg, Germany	Freiburg im Breisgau;Freiburg;Furtwangen im Schwarzwald	DE	47.99589674800046;48.084436;47.9990077;47.998530013000504;DIFF;47.98895400000001	7.849650025000415;8.274477;7.842104299999999;7.85221964900046;7.8820078;DIFF
FC Vaduz	Vaduz	LIE	Liechtenstein	FAILED	Vaduz	LI	47.141508065000494;47.13879000100047;47.1410303	9.5209277;9.521640000000446;9.521535518000462
Colorado Rapids	Colorado	USA	United States	Colorado Rapids, Victory Way, Commerce City, CO, United States	Commerce City;Grand Lake	US	39.8056867	-104.8918117
İstanbul Başakşehir	İstanbul Başakşehir	TUR	Turkey	Başakşehir, İstanbul, Turkey	Başakşehir	TR	41.083333;41.06764554600045;41.111179183000445	28.79471575600047;28.816667;28.810077393000483
FK Austria Wien	Austria Wien	AUT	Austria	FK Austria Wien, Horrplatz, Vienna, Austria	Vienna;Wien	AT	48.1625109;48.2081743;48.20253992400046;48.21043771000046	16.3888344;16.3738189;16.36879999000047;16.37766711900042
Eintracht Frankfurt	Frankfurt	GER	Germany	Eintracht Frankfurt e.V., Alfred-Pfaff-Straße, Frankfurt, Germany	Aßlar;Frankfurt am Main;Frankfurt	DE	50.1333383;50.5891043;50.068939291000504;50.115519157000506;50.1109221	8.7289853;8.4216446;8.6821267;8.684168824000437;8.646907630000442
FC Ingolstadt 04	Ingolstadt	GER	Germany	FAILED	Ingolstadt	DE	48.76507649300049	11.4257541
FC Dynamo Kyiv	Dynamo Kyiv	UKR	Ukraine	FC Dynamo Kyiv Office, Mykhaila Hrushevskoho Street, Kiev, Kyiv city, Ukraine	Kyiv;Kiev	UA	50.44086728600047;50.4501;50.45239063000048;50.319572;50.43467583600051;50.32	30.56429899999999;30.536587686000473;30.527319174000468;30.564428;30.5234;30.52005615300044
VfL Borussia Mönchengladbach	Mönchengladbach	GER	Germany	FAILED	MG	DE	51.185389219000456;51.1804572;None	None;6.4428041;6.441716314000416
Leicester City FC	Leicester	ENG	United Kingdom	FAILED	Leicester	GB	52.55692579999999;52.6368778;52.63859826400051	-1.131687637999562;-1.1397592;-1.1887397
