team,name,birthday,age,club,club_country,caps,height,weight,position
Albania,Etrit Berisha,10/03/1989,27,Lazio,ITA,36,194,92,Goalkeeper
Albania,Orges Shehi,25/09/1977,38,Skënderbeu,ALB,7,182,78,Goalkeeper
Albania,Alban Hoxha,23/11/1987,28,Partizani,ALB,1,188,79,Goalkeeper
Albania,Andi Lila,12/02/1986,30,Giannina,GRE,58,184,79,Defender
Albania,Elseid Hysaj,20/02/1994,22,Napoli,ITA,21,182,70,Defender
Albania,Frédéric Veseli,20/11/1992,23,Lugano,SUI,3,183,80,Defender
Albania,Ansi Agolli,11/10/1982,33,Qarabağ,AZE,63,179,70,Defender
Albania,Mërgim Mavraj,09/06/1986,30,Köln,GER,28,189,84,Defender
Albania,Naser Aliji,27/12/1993,22,Basel,SUI,4,177,73,Defender
Albania,Arlind Ajeti,25/09/1993,22,Frosinone,ITA,10,185,81,Defender
Albania,Ermir Lenjani,05/08/1989,26,Nantes,FRA,20,175,65,Midfield
Albania,Lorik Cana,27/07/1983,32,Nantes,FRA,91,186,77,Midfield
Albania,Migjen Basha,05/01/1987,29,Como,ITA,18,180,72,Midfield
Albania,Ledian Memushaj,17/12/1986,29,Pescara,ITA,14,175,71,Midfield
Albania,Burim Kukeli,16/01/1984,32,Zürich,SUI,17,180,72,Midfield
Albania,Taulant Xhaka,28/03/1991,25,Basel,SUI,13,172,72,Midfield
Albania,Ergys Kaçe,08/07/1993,22,PAOK,GRE,17,170,62,Midfield
Albania,Odise Roshi,22/05/1991,25,Rijeka,CRO,33,187,78,Midfield
Albania,Amir Abrashi,27/03/1990,26,Freiburg,GER,20,172,71,Midfield
Albania,Armando Sadiku,27/05/1991,25,Vaduz,LIE,21,185,80,Forward
Albania,Shkëlzen Gashi,15/07/1988,27,Colorado,USA,14,182,75,Forward
Albania,Sokol Çikalleshi,27/07/1990,25,İstanbul Başakşehir,TUR,19,185,79,Forward
Albania,Bekim Balaj,11/01/1991,25,Rijeka,CRO,15,188,80,Forward
Austria,Robert Almer,20/03/1984,32,Austria Wien,AUT,29,194,88,Goalkeeper
Austria,Heinz Lindner,17/07/1990,25,Frankfurt,GER,8,187,80,Goalkeeper
Austria,Ramazan Özcan,28/06/1984,31,Ingolstadt,GER,7,187,84,Goalkeeper
Austria,Aleksandar Dragović,06/03/1991,25,Dynamo Kyiv,UKR,48,184,76,Defender
Austria,Martin Hinteregger,07/09/1992,23,Mönchengladbach,GER,15,184,78,Defender
Austria,Christian Fuchs,07/04/1986,30,Leicester,ENG,76,186,80,Defender
Austria,Markus Suttner,16/04/1987,29,Ingolstadt,GER,16,179,72,Defender
Austria,Sebastian Prödl,21/06/1987,28,Watford,ENG,57,194,85,Defender
Austria,Kevin Wimmer,15/11/1992,23,Tottenham,ENG,3,187,85,Defender
Austria,Florian Klein,17/11/1986,29,Stuttgart,GER,38,180,66,Defender
Austria,György Garics,08/03/1984,32,Darmstadt,GER,41,183,76,Midfield
Austria,Stefan Ilsanker,18/05/1989,27,Leipzig,GER,16,189,86,Midfield
Austria,David Alaba,24/06/1992,23,Bayern,GER,47,180,75,Midfield
Austria,Zlatko Junuzović,26/09/1987,28,Bremen,GER,49,172,69,Midfield
Austria,Martin Harnik,10/06/1987,29,Stuttgart,GER,59,185,75,Midfield
Austria,Julian Baumgartlinger,02/01/1988,28,Mainz,GER,46,183,82,Midfield
Austria,Alessandro Schöpf,07/02/1994,22,Schalke,GER,5,178,75,Midfield
Austria,Marcel Sabitzer,17/03/1994,22,Leipzig,GER,19,177,74,Midfield
Austria,Jakob Jantscher,08/01/1989,27,Luzern,SUI,22,181,69,Midfield
Austria,Marko Arnautović,19/04/1989,27,Stoke,ENG,53,192,83,Forward
Austria,Rubin Okotie,06/06/1987,29,1860 München,GER,18,188,86,Forward
Austria,Lukas Hinterseer,28/03/1991,25,Ingolstadt,GER,10,192,84,Forward
Austria,Marc Janko,25/06/1983,32,Basel,SUI,55,196,93,Forward
Belgium,Thibaut Courtois,11/05/1992,24,Chelsea,ENG,38,199,91,Goalkeeper
Belgium,Simon Mignolet,06/08/1988,27,Liverpool,ENG,17,193,87,Goalkeeper
Belgium,Jean-François Gillet,31/05/1979,37,Mechelen,BEL,9,181,82,Goalkeeper
Belgium,Toby Alderweireld,02/03/1989,27,Tottenham,ENG,56,186,81,Defender
Belgium,Thomas Vermaelen,14/11/1985,30,Barcelona,ESP,54,183,80,Defender
Belgium,Jan Vertonghen,24/04/1987,29,Tottenham,ENG,79,189,79,Defender
Belgium,Jason Denayer,28/06/1995,20,Galatasaray,TUR,7,184,70,Defender
Belgium,Thomas Meunier,12/09/1991,24,Club Brugge,BEL,5,190,78,Defender
Belgium,Christian Kabasele,24/02/1991,25,Genk,BEL,0,186,84,Defender
Belgium,Jordan Lukaku,25/07/1994,21,Oostende,BEL,4,186,83,Defender
Belgium,Laurent Ciman,05/08/1985,30,Montreal,CAN,12,184,70,Defender
Belgium,Radja Nainggolan,04/05/1988,28,Roma,ITA,20,176,65,Midfield
Belgium,Axel Witsel,12/01/1989,27,Zenit,RUS,69,186,73,Midfield
Belgium,Kevin De Bruyne,28/06/1991,24,Man. City,ENG,42,181,68,Midfield
Belgium,Marouane Fellaini,22/11/1987,28,Man. United,ENG,71,194,85,Midfield
Belgium,Eden Hazard,07/01/1991,25,Chelsea,ENG,66,173,74,Midfield
Belgium,Yannick Carrasco,04/09/1993,22,Atlético,ESP,5,180,67,Midfield
Belgium,Mousa Dembélé,16/07/1987,28,Tottenham,ENG,64,185,82,Midfield
Belgium,Romelu Lukaku,13/05/1993,23,Everton,ENG,46,190,93,Forward
Belgium,Dries Mertens,06/05/1987,29,Napoli,ITA,47,169,61,Forward
Belgium,Divock Origi,18/04/1995,21,Liverpool,ENG,21,185,75,Forward
Belgium,Christian Benteke,03/12/1990,25,Liverpool,ENG,27,190,83,Forward
Belgium,Michy Batshuayi,02/10/1993,22,Marseille,FRA,5,185,78,Forward
Croatia,Ivan Vargić,15/03/1987,29,Rijeka,CRO,2,192,90,Goalkeeper
Croatia,Lovre Kalinić,03/04/1990,26,Hajduk Split,CRO,4,201,96,Goalkeeper
Croatia,Danijel Subašić,27/10/1984,31,Monaco,FRA,22,191,87,Goalkeeper
Croatia,Šime Vrsaljko,10/01/1992,24,Sassuolo,ITA,19,183,75,Defender
Croatia,Ivan Strinić,17/07/1987,28,Napoli,ITA,36,186,78,Defender
Croatia,Vedran Ćorluka,05/02/1986,30,Lokomotiv Moskva,RUS,88,192,84,Defender
Croatia,Tin Jedvaj,28/11/1995,20,Leverkusen,GER,3,184,80,Defender
Croatia,Darijo Srna,01/05/1982,34,Shakhtar Donetsk,UKR,130,178,78,Defender
Croatia,Gordon Schildenfeld,18/03/1985,31,Dinamo Zagreb,CRO,28,191,89,Defender
Croatia,Domagoj Vida,29/04/1989,27,Dynamo Kyiv,UKR,39,184,73,Defender
Croatia,Ivan Perišić,02/02/1989,27,Internazionale,ITA,48,187,80,Midfield
Croatia,Ivan Rakitić,10/03/1988,28,Barcelona,ESP,76,184,78,Midfield
Croatia,Mateo Kovačić,06/05/1994,22,Real Madrid,ESP,27,178,77,Midfield
Croatia,Luka Modrić,09/09/1985,30,Real Madrid,ESP,90,174,65,Midfield
Croatia,Marcelo Brozović,16/11/1992,23,Internazionale,ITA,18,181,68,Midfield
Croatia,Marko Rog,19/07/1995,20,Dinamo Zagreb,CRO,3,180,73,Midfield
Croatia,Ante Ćorić,14/04/1997,19,Dinamo Zagreb,CRO,2,172,78,Midfield
Croatia,Milan Badelj,25/02/1989,27,Fiorentina,ITA,21,186,76,Midfield
Croatia,Andrej Kramarić,19/06/1991,24,Hoffenheim,GER,12,177,70,Forward
Croatia,Nikola Kalinić,05/01/1988,28,Fiorentina,ITA,29,187,80,Forward
Croatia,Mario Mandžukić,21/05/1986,30,Juventus,ITA,66,190,85,Forward
Croatia,Marko Pjaca,06/05/1995,21,Dinamo Zagreb,CRO,9,186,81,Forward
Croatia,Duje Čop,01/02/1990,26,Málaga,ESP,4,184,73,Forward
Czech Republic,Petr Čech,20/05/1982,34,Arsenal,ENG,122,196,90,Goalkeeper
Czech Republic,Tomáš Vaclík,29/03/1989,27,Basel,SUI,6,188,85,Goalkeeper
Czech Republic,Tomáš Koubek,26/08/1992,23,Liberec,CZE,2,198,95,Goalkeeper
Czech Republic,Pavel Kadeřábek,25/04/1992,24,Hoffenheim,GER,19,182,81,Defender
Czech Republic,Michal Kadlec,13/12/1984,31,Fenerbahçe,TUR,65,185,76,Defender
Czech Republic,Theodor Gebre Selassie,24/12/1986,29,Bremen,GER,37,181,71,Defender
Czech Republic,Roman Hubník,06/06/1984,32,Plzeň,CZE,27,191,86,Defender
Czech Republic,Tomáš Sivok,15/09/1983,32,Bursaspor,TUR,56,185,77,Defender
Czech Republic,David Limberský,06/10/1983,32,Plzeň,CZE,39,179,79,Defender
Czech Republic,Marek Suchý,29/03/1988,28,Basel,SUI,27,184,84,Defender
Czech Republic,Bořek Dočkal,30/09/1988,27,Sparta Praha,CZE,24,182,72,Midfield
Czech Republic,Tomáš Rosický,04/10/1980,35,Arsenal,ENG,104,178,65,Midfield
Czech Republic,Daniel Pudil,27/09/1985,30,Sheff. Wednesday,ENG,32,185,81,Midfield
Czech Republic,Jaroslav Plašil,05/01/1982,34,Bordeaux,FRA,101,182,72,Midfield
Czech Republic,Daniel Kolář,27/10/1985,30,Plzeň,CZE,28,180,77,Midfield
Czech Republic,David Pavelka,18/05/1991,25,Kasımpaşa,TUR,9,185,74,Midfield
Czech Republic,Josef Šural,30/05/1990,26,Sparta Praha,CZE,12,184,81,Midfield
Czech Republic,Ladislav Krejčí,05/07/1992,23,Sparta Praha,CZE,24,180,67,Midfield
Czech Republic,Jiří Skalák,12/03/1992,24,Brighton,ENG,10,177,76,Midfield
