team,name,birthday,age,club,club_country,caps,height,weight,position
Albania,Etrit Berisha,10/03/1989,27,Lazio,ITA,37,194,92,Goalkeeper
Albania,Orges Shehi,25/09/1977,38,Skënderbeu,ALB,7,182,78,Goalkeeper
Albania,Alban Hoxha,23/11/1987,28,Partizani,ALB,1,188,79,Goalkeeper
Albania,Andi Lila,12/02/1986,30,Giannina,GRE,59,184,79,Defender
Albania,Elseid Hysaj,20/02/1994,22,Napoli,ITA,22,182,70,Defender
Albania,Frédéric Veseli,20/11/1992,23,Lugano,SUI,3,183,80,Defender
Albania,Ansi Agolli,11/10/1982,33,Qarabağ,AZE,64,179,70,Defender
Albania,Mërgim Mavraj,09/06/1986,30,Köln,GER,29,189,84,Defender
Albania,Naser Aliji,27/12/1993,22,Basel,SUI,4,177,73,Defender
Albania,Arlind Ajeti,25/09/1993,22,Frosinone,ITA,11,185,81,Defender
Albania,Ermir Lenjani,05/08/1989,26,Nantes,FRA,21,175,65,Midfield
Albania,Lorik Cana,27/07/1983,32,Nantes,FRA,92,186,77,Midfield
Albania,Migjen Basha,05/01/1987,29,Como,ITA,19,180,72,Midfield
Albania,Ledian Memushaj,17/12/1986,29,Pescara,ITA,15,175,71,Midfield
Albania,Burim Kukeli,16/01/1984,32,Zürich,SUI,17,180,72,Midfield
Albania,Taulant Xhaka,28/03/1991,25,Basel,SUI,13,172,72,Midfield
Albania,Ergys Kaçe,08/07/1993,22,PAOK,GRE,17,170,62,Midfield
Albania,Odise Roshi,22/05/1991,25,Rijeka,CRO,34,187,78,Midfield
Albania,Amir Abrashi,27/03/1990,26,Freiburg,GER,21,172,71,Midfield
Albania,Armando Sadiku,27/05/1991,25,Vaduz,LIE,22,185,80,Forward
Albania,Shkëlzen Gashi,15/07/1988,27,Colorado,USA,14,182,75,Forward
Albania,Sokol Çikalleshi,27/07/1990,25,İstanbul Başakşehir,TUR,19,185,79,Forward
Albania,Bekim Balaj,11/01/1991,25,Rijeka,CRO,16,188,80,Forward
Austria,Robert Almer,20/03/1984,32,Austria Wien,AUT,30,194,88,Goalkeeper
Austria,Heinz Lindner,17/07/1990,25,Frankfurt,GER,8,187,80,Goalkeeper
Austria,Ramazan Özcan,28/06/1984,31,Ingolstadt,GER,7,187,84,Goalkeeper
Austria,Aleksandar Dragović,06/03/1991,25,Dynamo Kyiv,UKR,48,184,76,Defender
Austria,Martin Hinteregger,07/09/1992,23,Mönchengladbach,GER,16,184,78,Defender
Austria,Christian Fuchs,07/04/1986,30,Leicester,ENG,77,186,80,Defender
Austria,Markus Suttner,16/04/1987,29,Ingolstadt,GER,16,179,72,Defender
Austria,Sebastian Prödl,21/06/1987,29,Watford,ENG,58,194,85,Defender
Austria,Kevin Wimmer,15/11/1992,23,Tottenham,ENG,4,187,85,Defender
Austria,Florian Klein,17/11/1986,29,Stuttgart,GER,39,180,66,Defender
Austria,György Garics,08/03/1984,32,Darmstadt,GER,41,183,76,Midfield
Austria,Stefan Ilsanker,18/05/1989,27,Leipzig,GER,17,189,86,Midfield
Austria,David Alaba,24/06/1992,23,Bayern,GER,48,180,75,Midfield
Austria,Zlatko Junuzović,26/09/1987,28,Bremen,GER,49,172,69,Midfield
Austria,Martin Harnik,10/06/1987,29,Stuttgart,GER,60,185,75,Midfield
Austria,Julian Baumgartlinger,02/01/1988,28,Mainz,GER,47,183,82,Midfield
Austria,Alessandro Schöpf,07/02/1994,22,Schalke,GER,6,178,75,Midfield
Austria,Marcel Sabitzer,17/03/1994,22,Leipzig,GER,20,177,74,Midfield
Austria,Jakob Jantscher,08/01/1989,27,Luzern,SUI,22,181,69,Midfield
Austria,Marko Arnautović,19/04/1989,27,Stoke,ENG,54,192,83,Forward
Austria,Rubin Okotie,06/06/1987,29,1860 München,GER,18,188,86,Forward
Austria,Lukas Hinterseer,28/03/1991,25,Ingolstadt,GER,11,192,84,Forward
Austria,Marc Janko,25/06/1983,32,Basel,SUI,55,196,93,Forward
Belgium,Thibaut Courtois,11/05/1992,24,Chelsea,ENG,39,199,91,Goalkeeper
Belgium,Simon Mignolet,06/08/1988,27,Liverpool,ENG,17,193,87,Goalkeeper
Belgium,Jean-François Gillet,31/05/1979,37,Mechelen,BEL,9,181,82,Goalkeeper
Belgium,Toby Alderweireld,02/03/1989,27,Tottenham,ENG,57,186,81,Defender
Belgium,Thomas Vermaelen,14/11/1985,30,Barcelona,ESP,55,183,80,Defender
Belgium,Jan Vertonghen,24/04/1987,29,Tottenham,ENG,80,189,79,Defender
Belgium,Jason Denayer,28/06/1995,20,Galatasaray,TUR,7,184,70,Defender
Belgium,Thomas Meunier,12/09/1991,24,Club Brugge,BEL,6,190,78,Defender
Belgium,Christian Kabasele,24/02/1991,25,Genk,BEL,0,186,84,Defender
Belgium,Jordan Lukaku,25/07/1994,21,Oostende,BEL,4,186,83,Defender
