team,name,birthday,age,club,euro16_games,euro16_goals
Albania,Etrit Berisha (1),10/03/1989,27,Lazio,3,3
Albania,Alban Hoxha (23),23/11/1987,28,Partizani,-,-
Albania,Orges Shehi (12),25/09/1977,38,Skënderbeu,-,-
Albania,Ansi Agolli (7),11/10/1982,33,Qarabağ,3,-
Albania,Arlind Ajeti (18),25/09/1993,22,Frosinone,2,-
Albania,Naser Aliji (17),27/12/1993,22,Basel,-,-
Albania,Elseid Hysaj (4),20/02/1994,22,Napoli,3,-
Albania,Andi Lila (2),12/02/1986,30,Giannina,2,-
Albania,Mërgim Mavraj (15),09/06/1986,30,Köln,3,-
Albania,Frédéric Veseli (6),20/11/1992,23,Lugano,1,-
Albania,Amir Abrashi (22),27/03/1990,26,Freiburg,3,-
Albania,Migjen Basha (8),05/01/1987,29,Como,1,-
Albania,Lorik Cana (5),27/07/1983,32,Nantes,2,-
Albania,Ergys Kaçe (20),08/07/1993,22,PAOK,1,-
Albania,Burim Kukeli (13),16/01/1984,32,Zürich,2,-
Albania,Ermir Lenjani (3),05/08/1989,26,Nantes,3,-
Albania,Ledian Memushaj                                           (9),17/12/1986,29,Pescara,2,-
Albania,Odise Roshi (21),22/05/1991,25,Rijeka,3,-
Albania,Taulant Xhaka (14),28/03/1991,25,Basel,2,-
Albania,Bekim Balaj (19),11/01/1991,25,Rijeka,1,-
Albania,Sokol Çikalleshi (16),27/07/1990,25,İstanbul Başakşehir,1,-
Albania,Shkëlzen Gashi (11),15/07/1988,27,Colorado,1,-
Albania,Armando Sadiku (10),27/05/1991,25,Vaduz,3,1
Austria,Robert Almer (1),20/03/1984,32,Austria Wien,2,2
Austria,Heinz Lindner (12),17/07/1990,25,Frankfurt,-,-
Austria,Ramazan Özcan (23),28/06/1984,31,Ingolstadt,-,-
Austria,Aleksandar Dragović (3),06/03/1991,25,Dynamo Kyiv,1,-
Austria,Christian Fuchs (5),07/04/1986,30,Leicester,2,-
