name	team	birthday	age	club_name	club_country_code	caps	height	weight	position	matches	minutes	goals	assists	pa	pc	pc_perc	on_target	off_target	blocked	against_woodwork	fouls	suffered	yellow	red	longer_club_name	lat	lng	uefa_club_name	uefa_11_12	uefa_12_13	uefa_13_14	uefa_14_15	uefa_15_16	uefa_pts
Ahmet Çalık	Turkey	26/02/1994	22	Gençlerbirliği	TUR	4	184	77	Defender	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	Gençlerbirliği SK	40.9983386	29.1886745	None	None	None	None	None	None	None
James McClean	Republic of Ireland	22/04/1989	27	West Brom	ENG	40	180	70	Midfield	4	None	None	None	None	None	None	1	3	0	0	2	6	0	0	West Bromwich Albion FC	52.5120994	-1.9796204759995817	None	None	None	None	None	None	None
Nico Elvedi	Switzerland	30/09/1996	19	Mönchengladbach	GER	1	188	83	Defender	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	VfL Borussia Mönchengladbach	51.185389219000456	6.4428041	VfL Borussia Mönchengladbach	3.050	12.585	2.942	12.171	12.171	12.171
Albin Ekdal	Sweden	28/07/1989	26	Hamburg	GER	24	186	75	Midfield	3	None	None	None	None	None	None	1	1	0	0	3	5	1	0	Hamburger SV	53.5884432	9.9044926	None	None	None	None	None	None	None
Hugo Lloris	France	26/12/1986	29	Tottenham	ENG	78	188	73	Goalkeeper	4	None	None	None	None	None	None	0	0	0	0	None	None	None	None	Tottenham Hotspur FC	51.603726097000504	-0.06783299999999999	Tottenham Hotspur FC	10.050	19.285	18.357	11.714	11.714	11.714
Ryan Bertrand	England	05/08/1989	26	Southampton	ENG	9	179	85	Defender	1	None	None	None	None	None	None	0	0	0	0	2	0	1	0	Southampton FC	50.909970039000484	-1.4042779489995496	Southampton FC	3.050	3.285	3.357	2.714	2.714	2.714
Daniel Pudil	Czech Republic	27/09/1985	30	Sheff. Wednesday	ENG	33	185	81	Midfield	1	None	None	None	None	None	None	0	0	0	0	2	1	0	0	Sheffield Wednesday FC	53.4158749	-1.5077223	None	None	None	None	None	None	None
Antoine Griezmann	France	21/03/1991	25	Atlético	ESP	30	176	67	Forward	4	255	3	0	None	None	None	7	2	4	1	2	2	0	0	Club Atlético de Madrid	40.4206094	-3.721263	Club Atlético de Madrid	34.171	13.542	37.600	26.042	26.042	26.042
Andrej Kramarić	Croatia	19/06/1991	25	Hoffenheim	GER	13	177	70	Forward	3	None	None	None	None	None	None	0	0	0	0	1	1	0	0	TSG 1899 Hoffenheim	49.27284710000001	8.841700090000415	None	None	None	None	None	None	None
Wayne Hennessey	Wales	24/01/1987	29	Crystal Palace	ENG	59	198	90	Goalkeeper	3	None	None	None	None	None	None	0	0	0	0	None	None	None	None	Crystal Palace FC	51.4003895	-0.07853809199957595	None	None	None	None	None	None	None
Gökhan Gönül	Turkey	04/01/1985	31	Fenerbahçe	TUR	60	174	73	Defender	3	None	None	None	None	None	None	0	0	0	0	None	None	None	None	Fenerbahçe SK	40.97428620000001	29.0430833	Fenerbahçe SK	1.020	24.040	1.340	1.200	1.200	1.200
Elseid Hysaj	Albania	20/02/1994	22	Napoli	ITA	22	182	70	Defender	3	None	None	None	None	None	None	0	0	1	0	1	5	1	0	SSC Napoli	40.85405189999999	14.2681244	SSC Napoli	21.271	8.883	18.833	25.800	25.800	25.800
Marc Bartra	Spain	15/01/1991	25	Barcelona	ESP	9	183	74	Defender	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	FC Barcelona	41.3813544	2.1203177860004416	FC Barcelona	34.171	27.542	28.600	38.042	38.042	38.042
Darren Randolph	Republic of Ireland	12/05/1987	29	West Ham	ENG	11	188	98	Goalkeeper	4	None	None	None	None	None	None	0	0	0	0	None	None	None	None	West Ham United FC	51.57045970000001	0.14751	West Ham United FC	3.050	3.285	3.357	2.714	2.714	2.714
Ante Ćorić	Croatia	14/04/1997	19	Dinamo Zagreb	CRO	2	172	78	Midfield	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	GNK Dinamo Zagreb	45.82139720800046	16.047697900000458	GNK Dinamo Zagreb	4.750	5.875	2.875	5.375	5.375	5.375
Álvaro Morata	Spain	23/10/1992	23	Juventus	ITA	12	189	85	Forward	4	289	3	0	None	None	None	7	4	2	0	12	4	0	0	Torino Juventus	45.1089928	7.638763099999998	Juventus	2.271	25.883	25.833	32.800	32.800	32.800
Jan Vertonghen	Belgium	24/04/1987	29	Tottenham	ENG	80	189	79	Defender	4	None	None	None	None	None	None	0	1	1	0	0	2	1	0	Tottenham Hotspur FC	51.603726097000504	-0.06783299999999999	Tottenham Hotspur FC	10.050	19.285	18.357	11.714	11.714	11.714
Roman Zozulya	Ukraine	17/11/1989	26	Dnipro	UKR	29	176	72	Forward	3	None	None	None	None	None	None	2	1	1	0	5	1	0	0	FC Dnipro Dnipropetrovsk	48.464717	35.13318629400044	FC Dnipro Dnipropetrovsk	3.050	12.900	11.566	21.000	21.000	21.000
Andi Lila	Albania	12/02/1986	30	Giannina	GRE	59	184	79	Defender	2	None	None	None	None	None	None	0	1	0	0	3	2	0	0	PAS Giannina FC	39.7706318	20.850828180000462	None	None	None	None	None	None	None
Ákos Elek	Hungary	21/07/1988	27	Diósgyőr	HUN	38	193	91	Midfield	2	None	None	None	None	None	None	2	1	1	1	2	1	1	0	Diósgyőri VTK	48.10002129999999	20.6899256	Diósgyőri VTK	0.450	0.600	0.175	1.425	1.425	1.425
Haukur Heidar Hauksson	Iceland	01/09/1991	24	AIK	SWE	7	187	79	Defender	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	AIK Solna	59.36887909999999	18.0084334	AIK Solna	0.580	4.025	0.640	1.780	1.780	1.780
Stuart Dallas	Northern Ireland	19/04/1991	25	Leeds	ENG	16	186	81	Midfield	4	None	None	None	None	None	None	3	0	0	0	6	2	2	0	Leeds United FC	53.8007554	-1.5478467089996002	None	None	None	None	None	None	None
Jordan Lukaku	Belgium	25/07/1994	21	Oostende	BEL	4	186	83	Defender	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	KV Oostende	51.216386968000506	2.928656	None	None	None	None	None	None	None
Artem Fedetskiy	Ukraine	26/04/1985	31	Dnipro	UKR	52	183	76	Defender	3	None	None	None	None	None	None	0	0	0	0	5	4	0	0	FC Dnipro Dnipropetrovsk	48.464717	35.13318629400044	FC Dnipro Dnipropetrovsk	3.050	12.900	11.566	21.000	21.000	21.000
György Garics	Austria	08/03/1984	32	Darmstadt	GER	41	183	76	Midfield	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	SV Darmstadt 98	49.8728253	8.6511929	None	None	None	None	None	None	None
Alexandru Măţel	Romania	17/10/1989	26	Dinamo Zagreb	CRO	17	177	72	Defender	1	None	None	None	None	None	None	0	1	0	0	1	2	1	0	GNK Dinamo Zagreb	45.82139720800046	16.047697900000458	GNK Dinamo Zagreb	4.750	5.875	2.875	5.375	5.375	5.375
Iker Casillas	Spain	20/05/1981	35	Porto	POR	167	185	84	Goalkeeper	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	FC Porto	41.159082	-8.608525658999554	FC Porto	12.366	22.350	17.983	26.816	26.816	26.816
