team,name,birthday,age,club,club_country,caps,height,weight,position,club_city,club_country_code,lat,lng
Albania,Etrit Berisha,10/03/1989,27,Lazio,ITA,36,194,92,Goalkeeper,None,IT,42.0774133,12.7135482
Albania,Orges Shehi,25/09/1977,38,Skënderbeu,ALB,7,182,78,Goalkeeper,Gjakovë,None,42.3764079,20.4385842
Albania,Alban Hoxha,23/11/1987,28,Partizani,ALB,1,188,79,Goalkeeper,Fier,AL,40.7279595,19.5601487
Albania,Andi Lila,12/02/1986,30,Giannina,GRE,58,184,79,Defender,None,GR,39.7706318,20.8076084
Albania,Elseid Hysaj,20/02/1994,22,Napoli,ITA,21,182,70,Defender,Naples,IT,40.8517746,14.2681244
Albania,Frédéric Veseli,20/11/1992,23,Lugano,SUI,3,183,80,Defender,Lugano,CH,46.0036778,8.951051999999999
Albania,Ansi Agolli,11/10/1982,33,Qarabağ,AZE,63,179,70,Defender,Masallı,AZ,39.0307442,48.67284
Albania,Mërgim Mavraj,09/06/1986,30,Köln,GER,28,189,84,Defender,Cologne,DE,50.937531,6.9602786
Albania,Naser Aliji,27/12/1993,22,Basel,SUI,4,177,73,Defender,Basel,CH,47.5595986,7.5885761
Albania,Arlind Ajeti,25/09/1993,22,Frosinone,ITA,10,185,81,Defender,Frosinone,IT,41.6396009,13.3426341
Albania,Ermir Lenjani,05/08/1989,26,Nantes,FRA,20,175,65,Midfield,Nantes,FR,47.218371,-1.553621
Albania,Lorik Cana,27/07/1983,32,Nantes,FRA,91,186,77,Midfield,Nantes,FR,47.218371,-1.553621
Albania,Migjen Basha,05/01/1987,29,Como,ITA,18,180,72,Midfield,Como,IT,45.8080597,9.0851765
Albania,Ledian Memushaj,17/12/1986,29,Pescara,ITA,14,175,71,Midfield,Pescara,IT,42.4617902,14.2160898
Albania,Burim Kukeli,16/01/1984,32,Zürich,SUI,17,180,72,Midfield,Zürich,CH,47.3768866,8.541694
Albania,Taulant Xhaka,28/03/1991,25,Basel,SUI,13,172,72,Midfield,Basel,CH,47.5595986,7.5885761
Albania,Ergys Kaçe,08/07/1993,22,PAOK,GRE,17,170,62,Midfield,None,None,None,None
Albania,Odise Roshi,22/05/1991,25,Rijeka,CRO,33,187,78,Midfield,Rijeka,HR,45.3270631,14.442176
Albania,Amir Abrashi,27/03/1990,26,Freiburg,GER,20,172,71,Midfield,Freiburg,DE,47.9990077,7.842104299999999
Albania,Armando Sadiku,27/05/1991,25,Vaduz,LIE,21,185,80,Forward,Vaduz,LI,47.1410303,9.5209277
Albania,Shkëlzen Gashi,15/07/1988,27,Colorado,USA,14,182,75,Forward,None,US,39.5500507,-105.7820674
Albania,Sokol Çikalleshi,27/07/1990,25,İstanbul Başakşehir,TUR,19,185,79,Forward,Başakşehir,TR,41.083333,28.816667
Albania,Bekim Balaj,11/01/1991,25,Rijeka,CRO,15,188,80,Forward,Rijeka,HR,45.3270631,14.442176
Austria,Robert Almer,20/03/1984,32,Austria Wien,AUT,29,194,88,Goalkeeper,Vienna,AT,48.2081743,16.3738189
Austria,Heinz Lindner,17/07/1990,25,Frankfurt,GER,8,187,80,Goalkeeper,Frankfurt,DE,50.1109221,8.6821267
Austria,Ramazan Özcan,28/06/1984,31,Ingolstadt,GER,7,187,84,Goalkeeper,Ingolstadt,DE,48.7665351,11.4257541
Austria,Aleksandar Dragović,06/03/1991,25,Dynamo Kyiv,UKR,48,184,76,Defender,Kyiv,UA,50.32,30.564428
Austria,Martin Hinteregger,07/09/1992,23,Mönchengladbach,GER,15,184,78,Defender,MG,DE,51.1804572,6.4428041
Austria,Christian Fuchs,07/04/1986,30,Leicester,ENG,76,186,80,Defender,Leicester,GB,52.6368778,-1.1397592
Austria,Markus Suttner,16/04/1987,29,Ingolstadt,GER,16,179,72,Defender,Ingolstadt,DE,48.7665351,11.4257541
Austria,Sebastian Prödl,21/06/1987,28,Watford,ENG,57,194,85,Defender,Watford,GB,51.656489,-0.39032
Austria,Kevin Wimmer,15/11/1992,23,Tottenham,ENG,3,187,85,Defender,London,GB,51.60496740000001,-0.0722785
Austria,Florian Klein,17/11/1986,29,Stuttgart,GER,38,180,66,Defender,Stuttgart,DE,48.7758459,9.1829321
Austria,György Garics,08/03/1984,32,Darmstadt,GER,41,183,76,Midfield,Darmstadt,DE,49.8728253,8.6511929
Austria,Stefan Ilsanker,18/05/1989,27,Leipzig,GER,16,189,86,Midfield,Leipzig,DE,51.3396955,12.3730747
Austria,David Alaba,24/06/1992,23,Bayern,GER,47,180,75,Midfield,None,DE,48.7904472,11.4978895
Austria,Zlatko Junuzović,26/09/1987,28,Bremen,GER,49,172,69,Midfield,Bremen,DE,53.07929619999999,8.8016937
Austria,Martin Harnik,10/06/1987,29,Stuttgart,GER,59,185,75,Midfield,Stuttgart,DE,48.7758459,9.1829321
Austria,Julian Baumgartlinger,02/01/1988,28,Mainz,GER,46,183,82,Midfield,MZ,DE,49.9928617,8.2472526
Austria,Alessandro Schöpf,07/02/1994,22,Schalke,GER,5,178,75,Midfield,GE,DE,51.5196426,7.087121
Austria,Marcel Sabitzer,17/03/1994,22,Leipzig,GER,19,177,74,Midfield,Leipzig,DE,51.3396955,12.3730747
Austria,Jakob Jantscher,08/01/1989,27,Luzern,SUI,22,181,69,Midfield,Lucerne,CH,47.05016819999999,8.3093072
Austria,Marko Arnautović,19/04/1989,27,Stoke,ENG,53,192,83,Forward,Stoke,GB,53.002668,-2.179404
Austria,Rubin Okotie,06/06/1987,29,1860 München,GER,18,188,86,Forward,Hirschbach,DE,49.55754940000001,11.5836489
Austria,Lukas Hinterseer,28/03/1991,25,Ingolstadt,GER,10,192,84,Forward,Ingolstadt,DE,48.7665351,11.4257541
Austria,Marc Janko,25/06/1983,32,Basel,SUI,55,196,93,Forward,Basel,CH,47.5595986,7.5885761
Belgium,Thibaut Courtois,11/05/1992,24,Chelsea,ENG,38,199,91,Goalkeeper,London,GB,51.485093,-0.174936
Belgium,Simon Mignolet,06/08/1988,27,Liverpool,ENG,17,193,87,Goalkeeper,Liverpool,GB,53.4083714,-2.9915726
Belgium,Jean-François Gillet,31/05/1979,37,Mechelen,BEL,9,181,82,Goalkeeper,Mechelen,BE,51.0258761,4.477536199999999
Belgium,Toby Alderweireld,02/03/1989,27,Tottenham,ENG,56,186,81,Defender,London,GB,51.60496740000001,-0.0722785
Belgium,Thomas Vermaelen,14/11/1985,30,Barcelona,ESP,54,183,80,Defender,Barcelona,ES,41.3850639,2.1734035
Belgium,Jan Vertonghen,24/04/1987,29,Tottenham,ENG,79,189,79,Defender,London,GB,51.60496740000001,-0.0722785
Belgium,Jason Denayer,28/06/1995,20,Galatasaray,TUR,7,184,70,Defender,None,TR,36.548905,31.989431
Belgium,Thomas Meunier,12/09/1991,24,Club Brugge,BEL,5,190,78,Defender,None,None,None,None
Belgium,Christian Kabasele,24/02/1991,25,Genk,BEL,0,186,84,Defender,Genk,BE,50.96613,5.5021
Belgium,Jordan Lukaku,25/07/1994,21,Oostende,BEL,4,186,83,Defender,Ostend,BE,51.21543,2.928656
Belgium,Laurent Ciman,05/08/1985,30,Montreal,CAN,12,184,70,Defender,Montreal,CA,45.5016889,-73.567256
Belgium,Radja Nainggolan,04/05/1988,28,Roma,ITA,20,176,65,Midfield,Rome,IT,41.9027835,12.4963655
Belgium,Axel Witsel,12/01/1989,27,Zenit,RUS,69,186,73,Midfield,Zenit,RU,59.69947819999999,30.0870107
Belgium,Kevin De Bruyne,28/06/1991,24,Man. City,ENG,42,181,68,Midfield,Manchester,GB,53.4807593,-2.2426305
Belgium,Marouane Fellaini,22/11/1987,28,Man. United,ENG,71,194,85,Midfield,Stretford,GB,53.4630484,-2.2951326
Belgium,Eden Hazard,07/01/1991,25,Chelsea,ENG,66,173,74,Midfield,London,GB,51.485093,-0.174936
Belgium,Yannick Carrasco,04/09/1993,22,Atlético,ESP,5,180,67,Midfield,Madrid,ES,40.3757325,-3.7423397
Belgium,Mousa Dembélé,16/07/1987,28,Tottenham,ENG,64,185,82,Midfield,London,GB,51.60496740000001,-0.0722785
Belgium,Romelu Lukaku,13/05/1993,23,Everton,ENG,46,190,93,Forward,Everton,GB,53.425713,-2.966368
Belgium,Dries Mertens,06/05/1987,29,Napoli,ITA,47,169,61,Forward,Naples,IT,40.8517746,14.2681244
Belgium,Divock Origi,18/04/1995,21,Liverpool,ENG,21,185,75,Forward,Liverpool,GB,53.4083714,-2.9915726
Belgium,Christian Benteke,03/12/1990,25,Liverpool,ENG,27,190,83,Forward,Liverpool,GB,53.4083714,-2.9915726
Belgium,Michy Batshuayi,02/10/1993,22,Marseille,FRA,5,185,78,Forward,Marseille,FR,43.296482,5.36978
Croatia,Ivan Vargić,15/03/1987,29,Rijeka,CRO,2,192,90,Goalkeeper,Rijeka,HR,45.3270631,14.442176
Croatia,Lovre Kalinić,03/04/1990,26,Hajduk Split,CRO,4,201,96,Goalkeeper,None,None,None,None
Croatia,Danijel Subašić,27/10/1984,31,Monaco,FRA,22,191,87,Goalkeeper,Monaco-Ville,MC,43.73741099999999,7.420815999999999
Croatia,Šime Vrsaljko,10/01/1992,24,Sassuolo,ITA,19,183,75,Defender,Sassuolo,IT,44.54433,10.7847741
Croatia,Ivan Strinić,17/07/1987,28,Napoli,ITA,36,186,78,Defender,Naples,IT,40.8517746,14.2681244
Croatia,Vedran Ćorluka,05/02/1986,30,Lokomotiv Moskva,RUS,88,192,84,Defender,Moskva,RU,55.800076,37.739931
Croatia,Tin Jedvaj,28/11/1995,20,Leverkusen,GER,3,184,80,Defender,LEV,DE,51.04592479999999,7.0192196
Croatia,Darijo Srna,01/05/1982,34,Shakhtar Donetsk,UKR,130,178,78,Defender,Donetsk,UA,47.971263,37.842979
Croatia,Gordon Schildenfeld,18/03/1985,31,Dinamo Zagreb,CRO,28,191,89,Defender,Novo Čiče,HR,45.70622909999999,16.1163926
Croatia,Domagoj Vida,29/04/1989,27,Dynamo Kyiv,UKR,39,184,73,Defender,Kyiv,UA,50.32,30.564428
Croatia,Ivan Perišić,02/02/1989,27,Internazionale,ITA,48,187,80,Midfield,None,IT,45.7924983,6.9254824
Croatia,Ivan Rakitić,10/03/1988,28,Barcelona,ESP,76,184,78,Midfield,Barcelona,ES,41.3850639,2.1734035
Croatia,Mateo Kovačić,06/05/1994,22,Real Madrid,ESP,27,178,77,Midfield,Madrid,ES,40.3626461,-3.7388727
Croatia,Luka Modrić,09/09/1985,30,Real Madrid,ESP,90,174,65,Midfield,Madrid,ES,40.3626461,-3.7388727
Croatia,Marcelo Brozović,16/11/1992,23,Internazionale,ITA,18,181,68,Midfield,None,IT,45.7924983,6.9254824
Croatia,Marko Rog,19/07/1995,20,Dinamo Zagreb,CRO,3,180,73,Midfield,Novo Čiče,HR,45.70622909999999,16.1163926
Croatia,Ante Ćorić,14/04/1997,19,Dinamo Zagreb,CRO,2,172,78,Midfield,Novo Čiče,HR,45.70622909999999,16.1163926
Croatia,Milan Badelj,25/02/1989,27,Fiorentina,ITA,21,186,76,Midfield,Fiorentina,IT,42.9636137,10.5355882
Croatia,Andrej Kramarić,19/06/1991,24,Hoffenheim,GER,12,177,70,Forward,Sinsheim,DE,49.27284710000001,8.842996099999999
Croatia,Nikola Kalinić,05/01/1988,28,Fiorentina,ITA,29,187,80,Forward,Fiorentina,IT,42.9636137,10.5355882
Croatia,Mario Mandžukić,21/05/1986,30,Juventus,ITA,66,190,85,Forward,São Paulo,BR,-23.5711578,-46.5904639
Croatia,Marko Pjaca,06/05/1995,21,Dinamo Zagreb,CRO,9,186,81,Forward,Novo Čiče,HR,45.70622909999999,16.1163926
Croatia,Duje Čop,01/02/1990,26,Málaga,ESP,4,184,73,Forward,Málaga,ES,36.721261,-4.4212655
Czech Republic,Petr Čech,20/05/1982,34,Arsenal,ENG,122,196,90,Goalkeeper,London,GB,51.5584654,-0.1057342
Czech Republic,Tomáš Vaclík,29/03/1989,27,Basel,SUI,6,188,85,Goalkeeper,Basel,CH,47.5595986,7.5885761
Czech Republic,Tomáš Koubek,26/08/1992,23,Liberec,CZE,2,198,95,Goalkeeper,Liberec,CZ,50.76627999999999,15.0543387
Czech Republic,Pavel Kadeřábek,25/04/1992,24,Hoffenheim,GER,19,182,81,Defender,Sinsheim,DE,49.27284710000001,8.842996099999999
Czech Republic,Michal Kadlec,13/12/1984,31,Fenerbahçe,TUR,65,185,76,Defender,None,TR,40.97428620000001,29.0430833
Czech Republic,Theodor Gebre Selassie,24/12/1986,29,Bremen,GER,37,181,71,Defender,Bremen,DE,53.07929619999999,8.8016937
Czech Republic,Roman Hubník,06/06/1984,32,Plzeň,CZE,27,191,86,Defender,Pilsen,CZ,49.7384314,13.3736371
Czech Republic,Tomáš Sivok,15/09/1983,32,Bursaspor,TUR,56,185,77,Defender,None,None,None,None
Czech Republic,David Limberský,06/10/1983,32,Plzeň,CZE,39,179,79,Defender,Pilsen,CZ,49.7384314,13.3736371
Czech Republic,Marek Suchý,29/03/1988,28,Basel,SUI,27,184,84,Defender,Basel,CH,47.5595986,7.5885761
Czech Republic,Bořek Dočkal,30/09/1988,27,Sparta Praha,CZE,24,182,72,Midfield,Prague,CZ,50.099298,14.418488
Czech Republic,Tomáš Rosický,04/10/1980,35,Arsenal,ENG,104,178,65,Midfield,London,GB,51.5584654,-0.1057342
Czech Republic,Daniel Pudil,27/09/1985,30,Sheff. Wednesday,ENG,32,185,81,Midfield,Sheffield,GB,53.4158749,-1.5077223
Czech Republic,Jaroslav Plašil,05/01/1982,34,Bordeaux,FRA,101,182,72,Midfield,Bordeaux,FR,44.837789,-0.57918
Czech Republic,Daniel Kolář,27/10/1985,30,Plzeň,CZE,28,180,77,Midfield,Pilsen,CZ,49.7384314,13.3736371
Czech Republic,David Pavelka,18/05/1991,25,Kasımpaşa,TUR,9,185,74,Midfield,Kasımpaşa,TR,38.764537,30.539422
Czech Republic,Josef Šural,30/05/1990,26,Sparta Praha,CZE,12,184,81,Midfield,Prague,CZ,50.099298,14.418488
Czech Republic,Ladislav Krejčí,05/07/1992,23,Sparta Praha,CZE,24,180,67,Midfield,Prague,CZ,50.099298,14.418488
Czech Republic,Jiří Skalák,12/03/1992,24,Brighton,ENG,10,177,76,Midfield,Brighton,GB,50.82253000000001,-0.137163
Czech Republic,Vladimír Darida,08/08/1990,25,Hertha,GER,37,171,74,Midfield,Hohen Neuendorf,DE,52.66571219999999,13.3139583
Czech Republic,Tomáš Necid,13/08/1989,26,Bursaspor,TUR,40,190,81,Forward,None,None,None,None
Czech Republic,Milan Škoda,16/01/1986,30,Slavia Praha,CZE,9,190,86,Forward,Prague,CZ,50.069527,14.470683
Czech Republic,David Lafata,18/09/1981,34,Sparta Praha,CZE,40,180,72,Forward,Prague,CZ,50.099298,14.418488
England,Joe Hart,19/04/1987,29,Man. City,ENG,61,196,89,Goalkeeper,Manchester,GB,53.4807593,-2.2426305
England,Fraser Forster,17/03/1988,28,Southampton,ENG,6,201,73,Goalkeeper,Southampton,GB,50.90970040000001,-1.4043509
England,Tom Heaton,15/04/1986,30,Burnley,ENG,1,188,85,Goalkeeper,Burnley,GB,53.7892877,-2.2405035
