club_name	club_country_code	11_12	12_13	13_14	14_15	15_16	pts
Real Madrid CF	ESP	36.171	29.542	39.600	33.042	33.042	33.042
FC Bayern München	GER	33.050	36.585	29.942	31.171	31.171	31.171
FC Barcelona	ESP	34.171	27.542	28.600	38.042	38.042	38.042
Club Atlético de Madrid	ESP	34.171	13.542	37.600	26.042	26.042	26.042
Chelsea FC	ENG	33.050	30.285	28.357	23.714	23.714	23.714
SL Benfica	POR	23.366	28.350	30.983	9.816	9.816	9.816
Paris Saint-Germain	FRA	9.100	27.350	26.700	23.183	23.183	23.183
Borussia Dortmund	GER	10.050	33.585	24.942	21.171	21.171	21.171
Juventus	ITA	2.271	25.883	25.833	32.800	32.800	32.800
Arsenal FC	ENG	22.050	21.285	21.357	22.714	22.714	22.714
Manchester City FC	ENG	20.050	10.285	22.357	17.714	17.714	17.714
Valencia CF	ESP	25.171	22.542	26.600	4.042	4.042	4.042
FC Schalke 04	GER	20.050	22.585	18.942	20.171	20.171	20.171
Sevilla FC	ESP	5.671	3.542	26.600	32.042	32.042	32.042
FC Zenit	RUS	19.950	14.950	18.083	18.933	18.933	18.933
FC Porto	POR	12.366	22.350	17.983	26.816	26.816	26.816
SSC Napoli	ITA	21.271	8.883	18.833	25.800	25.800	25.800
Bayer 04 Leverkusen	GER	19.050	12.585	18.942	21.171	21.171	21.171
FC Basel 1893	SUI	20.200	17.675	20.440	16.380	16.380	16.380
Manchester United FC	ENG	16.050	21.285	26.357	2.714	2.714	2.714
FC Shakhtar Donetsk	UKR	9.550	18.900	12.566	19.000	19.000	19.000
Athletic Club	ESP	27.171	7.542	4.600	14.042	14.042	14.042
Tottenham Hotspur FC	ENG	10.050	19.285	18.357	11.714	11.714	11.714
Olympiacos FC	GRE	17.520	10.880	19.220	12.240	12.240	12.240
AC Milan	ITA	22.271	19.883	18.833	3.800	3.800	3.800
FC Dynamo Kyiv	UKR	7.550	10.900	9.566	18.000	18.000	18.000
SS Lazio	ITA	9.271	20.883	12.833	3.800	3.800	3.800
Olympique Lyonnais	FRA	19.100	14.350	16.700	3.683	3.683	3.683
Villarreal CF	ESP	8.171	3.542	4.600	16.042	16.042	16.042
AFC Ajax	NED	14.720	9.842	11.183	15.216	15.216	15.216
FC Internazionale Milano	ITA	20.271	16.883	2.833	15.800	15.800	15.800
Galatasaray AŞ	TUR	1.020	24.040	16.340	6.200	6.200	6.200
PSV Eindhoven	NED	18.720	5.842	6.183	7.216	7.216	7.216
ACF Fiorentina	ITA	2.271	2.883	17.833	23.800	23.800	23.800
Liverpool FC	ENG	3.050	12.285	3.357	12.714	12.714	12.714
VfL Wolfsburg	GER	3.050	3.585	2.942	19.171	19.171	19.171
FC Dnipro Dnipropetrovsk	UKR	3.050	12.900	11.566	21.000	21.000	21.000
RSC Anderlecht	BEL	14.020	9.300	6.280	11.920	11.920	11.920
FC Rubin	RUS	9.950	19.950	13.083	1.933	1.933	1.933
Sporting Clube de Portugal	POR	22.366	6.350	1.983	11.816	11.816	11.816
PFC CSKA Moskva	RUS	17.950	3.450	8.083	9.933	9.933	9.933
Olympique de Marseille	FRA	21.100	6.350	5.700	2.183	2.183	2.183
FC Viktoria Plzeň	CZE	10.050	15.700	12.600	1.775	1.775	1.775
AZ Alkmaar	NED	18.720	2.342	17.183	1.216	1.216	1.216
Málaga CF	ESP	4.171	25.542	4.600	4.042	4.042	4.042
SC Braga	POR	12.366	8.350	3.483	1.816	1.816	1.816
Club Brugge KV	BEL	10.020	4.300	2.280	20.920	20.920	20.920
FC Salzburg	AUT	8.425	1.450	18.560	11.825	11.825	11.825
VfL Borussia Mönchengladbach	GER	3.050	12.585	2.942	12.171	12.171	12.171
Hannover 96	GER	19.050	13.585	2.942	3.171	3.171	3.171
