team,name,birthday,age,club,games,goals
Albania,Etrit Berisha (1),10/03/1989,27,Lazio,2,3
Albania,Alban Hoxha (23),23/11/1987,28,Partizani,-,-
Albania,Orges Shehi (12),25/09/1977,38,Skënderbeu,-,-
Albania,Ansi Agolli (7),11/10/1982,33,Qarabağ,2,-
Albania,Arlind Ajeti (18),25/09/1993,22,Frosinone,1,-
Albania,Naser Aliji (17),27/12/1993,22,Basel,-,-
Albania,Elseid Hysaj (4),20/02/1994,22,Napoli,2,-
Albania,Andi Lila (2),12/02/1986,30,Giannina,1,-
Albania,Mërgim Mavraj (15),09/06/1986,30,Köln,2,-
Albania,Frédéric Veseli (6),20/11/1992,23,Lugano,1,-
Albania,Amir Abrashi (22),27/03/1990,26,Freiburg,2,-
Albania,Migjen Basha (8),05/01/1987,29,Como,-,-
Albania,Lorik Cana (5),27/07/1983,32,Nantes,1,-
Albania,Ergys Kaçe (20),08/07/1993,22,PAOK,1,-
Albania,Burim Kukeli (13),16/01/1984,32,Zürich,2,-
Albania,Ermir Lenjani (3),05/08/1989,26,Nantes,2,-
Albania,Ledian Memushaj                                           (9),17/12/1986,29,Pescara,1,-
Albania,Odise Roshi (21),22/05/1991,25,Rijeka,2,-
Albania,Taulant Xhaka (14),28/03/1991,25,Basel,2,-
Albania,Bekim Balaj (19),11/01/1991,25,Rijeka,-,-
Albania,Sokol Çikalleshi (16),27/07/1990,25,İstanbul Başakşehir,1,-
Albania,Shkëlzen Gashi (11),15/07/1988,27,Colorado,1,-
Albania,Armando Sadiku (10),27/05/1991,25,Vaduz,2,-
Austria,Robert Almer (1),20/03/1984,32,Austria Wien,1,2
Austria,Heinz Lindner (12),17/07/1990,25,Frankfurt,-,-
Austria,Ramazan Özcan (23),28/06/1984,31,Ingolstadt,-,-
Austria,Aleksandar Dragović (3),06/03/1991,25,Dynamo Kyiv,1,-
Austria,Christian Fuchs (5),07/04/1986,30,Leicester,1,-
Austria,Martin Hinteregger (4),07/09/1992,23,Mönchengladbach,1,-
Austria,Florian Klein (17),17/11/1986,29,Stuttgart,1,-
Austria,Sebastian Prödl (15),21/06/1987,28,Watford,-,-
Austria,Markus Suttner (13),16/04/1987,29,Ingolstadt,-,-
Austria,Kevin Wimmer (16),15/11/1992,23,Tottenham,-,-
Austria,David Alaba (8),24/06/1992,23,Bayern,1,-
Austria,Julian Baumgartlinger (14),02/01/1988,28,Mainz,1,-
Austria,György Garics (2),08/03/1984,32,Darmstadt,-,-
Austria,Martin Harnik (11),10/06/1987,29,Stuttgart,1,-
Austria,Stefan Ilsanker (6),18/05/1989,27,Leipzig,-,-
Austria,Jakob Jantscher (22),08/01/1989,27,Luzern,-,-
Austria,Zlatko Junuzović (10),26/09/1987,28,Bremen,1,-
Austria,Marcel Sabitzer (20),17/03/1994,22,Leipzig,1,-
Austria,Alessandro Schöpf (18),07/02/1994,22,Schalke,1,-
Austria,Marko Arnautović (7),19/04/1989,27,Stoke,1,-
Austria,Lukas Hinterseer (19),28/03/1991,25,Ingolstadt,-,-
Austria,Marc Janko (21),25/06/1983,32,Basel,1,-
Austria,Rubin Okotie (9),06/06/1987,29,1860 München,1,-
Belgium,Thibaut Courtois (1),11/05/1992,24,Chelsea,-,2
Belgium,Jean-François Gillet (13),31/05/1979,37,Mechelen,-,-
Belgium,Simon Mignolet (12),06/08/1988,27,Liverpool,-,-
Belgium,Toby Alderweireld (2),02/03/1989,27,Tottenham,-,-
Belgium,Laurent Ciman (23),05/08/1985,30,Montreal,-,-
Belgium,Jason Denayer (15),28/06/1995,20,Galatasaray,-,-
Belgium,Christian Kabasele (18),24/02/1991,25,Genk,-,-
Belgium,Jordan Lukaku (21),25/07/1994,21,Oostende,-,-
Belgium,Thomas Meunier (16),12/09/1991,24,Club Brugge,-,-
Belgium,Thomas Vermaelen (3),14/11/1985,30,Barcelona,-,-
Belgium,Jan Vertonghen (5),24/04/1987,29,Tottenham,-,-
Belgium,Yannick Carrasco (11),04/09/1993,22,Atlético,-,-
Belgium,Kevin De Bruyne (7),28/06/1991,24,Man. City,-,-
Belgium,Mousa Dembélé (19),16/07/1987,28,Tottenham,-,-
Belgium,Marouane Fellaini (8),22/11/1987,28,Man. United,-,-
Belgium,Eden Hazard (10),07/01/1991,25,Chelsea,-,-
Belgium,Radja Nainggolan (4),04/05/1988,28,Roma,-,-
Belgium,Axel Witsel (6),12/01/1989,27,Zenit,-,-
Belgium,Michy Batshuayi (22),02/10/1993,22,Marseille,-,-
Belgium,Christian Benteke (20),03/12/1990,25,Liverpool,-,-
Belgium,Romelu Lukaku (9),13/05/1993,23,Everton,-,-
Belgium,Dries Mertens (14),06/05/1987,29,Napoli,-,-
Belgium,Divock Origi (17),18/04/1995,21,Liverpool,-,-
Croatia,Lovre Kalinić (12),03/04/1990,26,Hajduk Split,-,-
Croatia,Danijel  Subašić (23),27/10/1984,31,Monaco,1,-
Croatia,Ivan Vargić (1),15/03/1987,29,Rijeka,-,-
Croatia,Vedran Ćorluka (5),05/02/1986,30,Lokomotiv Moskva,1,-
Croatia,Tin Jedvaj (6),28/11/1995,20,Leverkusen,-,-
Croatia,Gordon Schildenfeld (13),18/03/1985,31,Dinamo Zagreb,1,-
Croatia,Darijo Srna (11),01/05/1982,34,Shakhtar Donetsk,1,-
Croatia,Ivan Strinić (3),17/07/1987,28,Napoli,1,-
Croatia,Domagoj Vida (21),29/04/1989,27,Dynamo Kyiv,1,-
Croatia,Šime Vrsaljko (2),10/01/1992,24,Sassuolo,-,-
Croatia,Milan Badelj (19),25/02/1989,27,Fiorentina,1,-
Croatia,Marcelo Brozović (14),16/11/1992,23,Internazionale,1,-
Croatia,Ante Ćorić (18),14/04/1997,19,Dinamo Zagreb,-,-
Croatia,Mateo Kovačić (8),06/05/1994,22,Real Madrid,-,-
Croatia,Luka Modrić (10),09/09/1985,30,Real Madrid,1,1
Croatia,Ivan Perišić (4),02/02/1989,27,Internazionale,1,-
Croatia,Ivan Rakitić (7),10/03/1988,28,Barcelona,1,-
Croatia,Marko Rog (15),19/07/1995,20,Dinamo Zagreb,-,-
Croatia,Duje Čop (22),01/02/1990,26,Málaga,-,-
Croatia,Nikola Kalinić (16),05/01/1988,28,Fiorentina,-,-
Croatia,Andrej Kramarić (9),19/06/1991,24,Hoffenheim,1,-
Croatia,Mario Mandžukić (17),21/05/1986,30,Juventus,1,-
Croatia,Marko Pjaca (20),06/05/1995,21,Dinamo Zagreb,1,-
Czech Republic,Petr  Čech (1),20/05/1982,34,Arsenal,1,1
Czech Republic,Tomáš Koubek (23),26/08/1992,23,Liberec,-,-
Czech Republic,Tomáš Vaclík (16),29/03/1989,27,Basel,-,-
Czech Republic,Theodor Gebre Selassie (4),24/12/1986,29,Bremen,1,-
Czech Republic,Roman Hubník (5),06/06/1984,32,Plzeň,1,-
Czech Republic,Pavel Kadeřábek (2),25/04/1992,24,Hoffenheim,1,-
Czech Republic,Michal Kadlec (3),13/12/1984,31,Fenerbahçe,-,-
